id,name,stationId,order
river-tame-greater-manchester,River Tame,5196,1
river-tame-greater-manchester,River Tame,5143,2
river-tame-greater-manchester,River Tame,5145,3
river-tame-greater-manchester,River Tame,5023,4
river-tame-greater-manchester,River Tame,5112,5
river-weaver,River Weaver,5009,1
river-weaver,River Weaver,5202,2
river-weaver,River Weaver,5007,3
river-weaver,River Weaver,5065,4
river-weaver,River Weaver,5198,5
sankey-brook,Sankey Brook,5031,1
sankey-brook,Sankey Brook,5069,2
sankey-brook,Sankey Brook,5085,3
river-birket,River Birket,5041,1
river-birket,River Birket,5053,2
valley-brook,Valley Brook,5097,1
wincham-brook,Wincham Brook,5089,1
worsley-brook,Worsley Brook,5193,1
river-beam,River Beam,7383,1
canons-brook,Canons Brook,7355,1
cobbins-brook,Cobbins Brook,7363,1
cobbins-brook,Cobbins Brook,7364,2
colne-brook,Colne Brook,7199,1
colne-brook,Colne Brook,9297,2
colne-brook,Colne Brook,7212,3
colne-brook,Colne Brook,7208,4
cripsey-brook,Cripsey Brook,7377,1
cripsey-brook,Cripsey Brook,7378,2
deans-brook,Deans Brook,7283,1
dollis-brook,Dollis Brook,7278,1
dollis-brook,Dollis Brook,7279,2
edgware-brook,Edgware Brook,7284,1
frays-river,Frays River,7197,1
frays-river,Frays River,7205,2
river-ingrebourne,River Ingrebourne,7384,1
mimmshall-brook,Mimmshall Brook,7176,1
mimmshall-brook,Mimmshall Brook,7177,2
mutton-brook,Mutton Brook,7281,1
pincey-brook,Pincey Brook,7352,1
poyle-channel,Poyle Channel,7206,1
pymmes-brook,Pymmes Brook,7370,1
pymmes-brook,Pymmes Brook,7371,2
pymmes-brook,Pymmes Brook,7372,3
rags-brook,Rags Brook,7359,1
river-ash-hertfordshire,River Ash,7345,1
river-ash-hertfordshire,River Ash,7346,2
river-ash-hertfordshire,River Ash,7347,3
river-ash-middlesex,River Ash,7247,1
river-ash-middlesex,River Ash,7248,2
river-beane,River Beane,7337,1
river-beane,River Beane,7340,2
river-beane,River Beane,7339,3
river-beane,River Beane,7341,4
river-brent,River Brent,7282,1
river-brent,River Brent,7289,2
river-brent,River Brent,7290,3
river-brent,River Brent,7291,4
river-brent,River Brent,7007,5
river-bulbourne,River Bulbourne,7186,1
river-bulbourne,River Bulbourne,7187,2
river-chess,River Chess,7189,1
river-chess,River Chess,7190,2
river-colne-hertfordshire,River Colne,7179,1
river-colne-hertfordshire,River Colne,7184,2
river-colne-hertfordshire,River Colne,9296,3
river-colne-hertfordshire,River Colne,7192,4
river-colne-hertfordshire,River Colne,7196,5
river-colne-hertfordshire,River Colne,7198,6
river-colne-hertfordshire,River Colne,9298,7
river-colne-hertfordshire,River Colne,7200,8
river-colne-hertfordshire,River Colne,7207,9
river-colne-hertfordshire,River Colne,7211,10
river-crane,River Crane,7276,1
river-crane,River Crane,7277,2
river-gade,River Gade,7185,1
river-gade,River Gade,7188,2
river-lee,River Lee,7329,1
river-lee,River Lee,7330,2
river-lee,River Lee,9289,3
river-lee,River Lee,7332,4
river-lee,River Lee,7333,5
river-lee,River Lee,7357,6
river-lee,River Lee,7361,7
river-lee,River Lee,7365,8
river-lee,River Lee,7374,9
river-lee,River Lee,7375,10
river-mimram,River Mimram,7334,1
river-mimram,River Mimram,7335,2
river-mimram,River Mimram,7336,3
river-misbourne,River Misbourne,7194,1
river-misbourne,River Misbourne,7407,2
river-pinn,River Pinn,7397,1
river-pinn,River Pinn,7201,2
river-pinn,River Pinn,7173,3
river-pinn,River Pinn,7174,4
river-pinn,River Pinn,7005,5
river-pinn,River Pinn,7202,6
river-pinn,River Pinn,7203,7
river-pinn,River Pinn,7183,8
river-pinn,River Pinn,7204,9
river-quin,River Quin,7343,1
red-hertfordshire,Red,7181,1
river-rib,River Rib,7342,1
river-rib,River Rib,7344,2
river-roding,River Roding,7376,1
river-roding,River Roding,7379,2
river-roding,River Roding,7009,3
river-roding,River Roding,7380,4
river-roding,River Roding,7381,5
river-rom,River Rom,9282,1
river-rom,River Rom,7382,2
river-stort,River Stort,7348,1
river-stort,River Stort,7350,2
river-stort,River Stort,7351,3
river-stort,River Stort,7353,4
pishiobury-brook,Pishiobury Brook,7354,1
rye-meads-effluent-channel,Rye Meads Effluent Channel,7358,1
rye-meads-effluent-channel,Rye Meads Effluent Channel,7356,2
river-ver,River Ver,7178,1
river-ver,River Ver,7180,2
river-ver,River Ver,7182,3
the-roxbourne,The Roxbourne,7272,1
salmon-brook,Salmon Brook,7368,1
salmon-brook,Salmon Brook,7369,2
